id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Astrocyte|Astrocyte	Astrocyte|Microglia	Astrocyte|Neuron	Astrocyte|Oligodendrocyte	Microglia|Astrocyte	Microglia|Microglia	Microglia|Neuron	Microglia|Oligodendrocyte	Neuron|Astrocyte	Neuron|Microglia	Neuron|Neuron	Neuron|Oligodendrocyte	Oligodendrocyte|Astrocyte	Oligodendrocyte|Microglia	Oligodendrocyte|Neuron	Oligodendrocyte|Oligodendrocyte
CPI-SC0BB68FB34	COL9A3_integrin_a2b1_complex	simple:Q14050	complex:integrin_a2b1_complex	COL9A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.041	0.025	0.032	0.032	0.029	0.012	0.02	0.02	0.087	0.071	0.078	0.078	0.123	0.106	0.114	0.114
CPI-SC01D1C56CC	FN1_integrin_a2b1_complex	simple:P02751	complex:integrin_a2b1_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.079	0.063	0.07	0.07	0.021	0.005	0.013	0.012	0.027	0.011	0.018	0.018	0.063	0.046	0.054	0.053
CPI-SC0A460766C	LAMC1_integrin_a2b1_complex	simple:P11047	complex:integrin_a2b1_complex	LAMC1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Laminin	0.1	0.084	0.091	0.091	0.03	0.014	0.021	0.021	0.034	0.018	0.025	0.025	0.044	0.028	0.035	0.035
CPI-SC09D882C18	CDH1_integrin_aEb7_complex	simple:P12830	complex:integrin_aEb7_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.076	0.002	0.002	0.0	0.0	0.0	0.0	0.001	0.075	0.001	0.001	0.001	0.075	0.001	0.001
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	Ligand-Receptor	Adhesion by Cadherin	0.014	0.013	0.016	0.021	0.0	0.0	0.0	0.0	0.013	0.011	0.015	0.02	0.013	0.012	0.015	0.02
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.087	0.618	1.067	1.177	0.618	0.15	0.599	0.708	1.067	0.599	1.048	1.157	1.177	0.708	1.157	1.267
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.004	0.0	0.005	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.006	0.005	0.004	0.0	0.005	0.005
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.06	0.03	0.037	0.045	0.03	0.001	0.008	0.016	0.037	0.008	0.014	0.022	0.045	0.016	0.022	0.031
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.0	0.002	0.013	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.014	0.013	0.0	0.014	0.025
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.382	0.338	0.472	0.583	0.338	0.295	0.429	0.539	0.472	0.429	0.562	0.673	0.583	0.539	0.673	0.784
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.239	0.195	0.329	0.44	0.195	0.151	0.285	0.396	0.276	0.233	0.367	0.477	0.233	0.189	0.323	0.434
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	Adhesion-Adhesion		0.191	0.148	0.281	0.392	0.191	0.148	0.281	0.392	0.191	0.148	0.282	0.392	0.0	0.0	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.263	0.195	0.221	0.281	0.219	0.152	0.178	0.237	0.353	0.286	0.312	0.371	0.464	0.396	0.422	0.482
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	CADM3	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.119	0.052	0.078	0.138	0.076	0.008	0.034	0.094	0.157	0.09	0.116	0.175	0.113	0.046	0.072	0.132
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.088	0.02	0.047	0.106	0.08	0.013	0.039	0.099	0.11	0.043	0.069	0.128	0.127	0.06	0.086	0.145
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.122	0.054	0.081	0.14	0.203	0.136	0.162	0.221	0.091	0.023	0.049	0.109	0.103	0.036	0.062	0.121
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.267	0.072	0.181	0.321	0.223	0.028	0.137	0.277	0.304	0.11	0.218	0.359	0.261	0.066	0.175	0.315
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.093	0.071	0.089	0.097	0.049	0.027	0.045	0.053	0.131	0.109	0.126	0.135	0.087	0.065	0.082	0.091
CPI-SS055B305F1	CEACAM1_CD209	simple:P13688	simple:Q9NNX6	CEACAM1	CD209	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.002	0.077	0.0	0.0	0.002	0.076	0.0	0.0	0.007	0.081	0.0	0.0	0.002	0.076	0.0	0.0
CPI-SS0544D2759	ICAM2_CD209	simple:P13598	simple:Q9NNX6	ICAM2	CD209	True	False	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.0	0.0	0.0	0.0	0.014	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0
CPI-SS0A2949959	ICAM3_CD209	simple:P32942	simple:Q9NNX6	ICAM3	CD209	True	False	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.005	0.079	0.0	0.0	0.029	0.103	0.0	0.0	0.002	0.076	0.0	0.0	0.001	0.076	0.0	0.0
CPI-SS0CCDBBBC0	CEACAM1_CEACAM8	simple:P13688	simple:P31997	CEACAM1	CEACAM8	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.002	0.0	0.003	0.0	0.002	0.0	0.002	0.0	0.007	0.0	0.007	0.0	0.002	0.0	0.003	0.0
CPI-SC04FA882F7	COL10A1_integrin_a1b1_complex	simple:Q03692	complex:integrin_a1b1_complex	COL10A1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Collagen/Integrin	0.003	0.001	0.001	0.005	0.0	0.0	0.0	0.0	0.003	0.0	0.001	0.005	0.003	0.001	0.001	0.005
CPI-SC0E53A238E	COL11A1_integrin_a1b1_complex	simple:P12107	complex:integrin_a1b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.209	0.207	0.207	0.211	0.01	0.008	0.008	0.012	0.037	0.035	0.035	0.039	0.193	0.19	0.191	0.195
CPI-SC071163509	COL11A2_integrin_a1b1_complex	simple:P13942	complex:integrin_a1b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.006	0.004	0.004	0.008	0.004	0.002	0.002	0.006	0.012	0.009	0.01	0.014	0.008	0.006	0.006	0.01
CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.004	0.002	0.002	0.006	0.003	0.001	0.001	0.005	0.004	0.002	0.002	0.006	0.014	0.012	0.012	0.016
CPI-SC0FCF853DB	COL13A1_integrin_a1b1_complex	simple:Q5TAT6	complex:integrin_a1b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005
CPI-SC0AB5FBF10	COL14A1_integrin_a1b1_complex	simple:Q05707	complex:integrin_a1b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.003	0.001	0.001	0.005	0.004	0.002	0.002	0.006	0.003	0.001	0.001	0.005	0.012	0.01	0.01	0.014
CPI-SC027893337	COL15A1_integrin_a1b1_complex	simple:P39059	complex:integrin_a1b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.004	0.002	0.002	0.006	0.014	0.012	0.012	0.016	0.003	0.001	0.001	0.005	0.016	0.014	0.014	0.018
CPI-SC06AD39F88	COL16A1_integrin_a1b1_complex	simple:Q07092	complex:integrin_a1b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.033	0.031	0.031	0.035	0.005	0.002	0.003	0.007	0.011	0.009	0.009	0.013	0.015	0.013	0.013	0.017
CPI-SC0C841033A	COL17A1_integrin_a1b1_complex	simple:Q9UMD9	complex:integrin_a1b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.005	0.003	0.003	0.007	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005
CPI-SC0C739EDCE	COL18A1_integrin_a1b1_complex	simple:P39060	complex:integrin_a1b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.007	0.004	0.005	0.009	0.007	0.005	0.005	0.009	0.006	0.004	0.004	0.008	0.007	0.005	0.005	0.009
CPI-SC079D293A2	COL19A1_integrin_a1b1_complex	simple:Q14993	complex:integrin_a1b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.003	0.0	0.001	0.005	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005
CPI-SC08DBCCFF0	COL1A1_integrin_a1b1_complex	simple:P02452	complex:integrin_a1b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.012	0.01	0.01	0.014	0.012	0.01	0.01	0.014	0.01	0.008	0.008	0.012	0.043	0.041	0.041	0.045
CPI-SC09DB9D20A	COL1A2_integrin_a1b1_complex	simple:P08123	complex:integrin_a1b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.032	0.029	0.03	0.034	0.024	0.021	0.021	0.026	0.034	0.032	0.032	0.036	0.386	0.384	0.384	0.388
CPI-SC0804EB2C0	COL20A1_integrin_a1b1_complex	simple:Q9P218	complex:integrin_a1b1_complex	COL20A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.013	0.011	0.011	0.015	0.005	0.003	0.003	0.007	0.007	0.005	0.005	0.009	0.115	0.112	0.113	0.117
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.005
CPI-SC0713C9654	COL22A1_integrin_a1b1_complex	simple:Q8NFW1	complex:integrin_a1b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.027	0.025	0.025	0.029	0.003	0.001	0.001	0.005	0.006	0.004	0.004	0.008	0.008	0.006	0.006	0.01
CPI-SC073A7317A	COL24A1_integrin_a1b1_complex	simple:Q17RW2	complex:integrin_a1b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.004	0.001	0.002	0.006	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005	0.003	0.0	0.001	0.005
CPI-SC01E6BE079	COL26A1_integrin_a1b1_complex	simple:Q96A83	complex:integrin_a1b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.005	0.007	0.005	0.005	0.009	0.004	0.001	0.002	0.006
CPI-SC050F64BB5	COL27A1_integrin_a1b1_complex	simple:Q8IZC6	complex:integrin_a1b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.025	0.023	0.023	0.027	0.032	0.029	0.03	0.034	0.009	0.007	0.007	0.011	0.013	0.011	0.011	0.015
CPI-SC01C274A51	COL28A1_integrin_a1b1_complex	simple:Q2UY09	complex:integrin_a1b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.014	0.012	0.012	0.016	0.0	0.0	0.0	0.0	0.004	0.001	0.001	0.006	0.005	0.003	0.003	0.007
